event,gender,age_from,age_to,period_from,period_to,sample_size,median_improvement,mean_improvement,std_improvement,min_improvement,max_improvement,q25_improvement,q75_improvement,iqr_lower,iqr_upper,analysis_date,status
1500 Free,M,15,16,9.1.21-8.31.22,9.1.22-8.31.23,282,17.760000000000048,19.466843971631203,26.01607966301597,-51.09000000000003,112.10000000000014,2.9499999999999886,34.697499999999906,2.9499999999999886,34.697499999999906,2025-11-01 11:05:28,Complete
1500 Free,M,16,17,9.1.22-8.31.23,9.1.23-8.31.24,295,7.939999999999941,7.098881355932201,22.493264915197297,-66.12,64.21000000000004,-7.475000000000023,21.17500000000001,-7.475000000000023,21.17500000000001,2025-11-01 11:05:28,Complete
1500 Free,M,17,18,9.1.23-8.31.24,9.1.24-8.31.25,184,1.69500000000005,-4.199402173913046,28.981671328827282,-118.87000000000012,70.59999999999991,-17.752500000000026,13.384999999999934,-17.752500000000026,13.384999999999934,2025-11-01 11:05:28,Complete
100 Back,F,15,16,9.1.21-8.31.22,9.1.22-8.31.23,343,0.9200000000000017,0.9534110787172011,1.268119873942427,-2.6500000000000057,6.209999999999994,0.15000000000000568,1.6450000000000031,0.15000000000000568,1.6450000000000031,2025-11-01 11:05:28,Complete
100 Back,F,16,17,9.1.22-8.31.23,9.1.23-8.31.24,363,0.39000000000000057,0.43443526170798896,1.17411118628726,-3.049999999999997,4.6200000000000045,-0.23499999999999943,1.1199999999999903,-0.23499999999999943,1.1199999999999903,2025-11-01 11:05:29,Complete
100 Back,F,17,18,9.1.23-8.31.24,9.1.24-8.31.25,284,-0.3050000000000068,-0.39211267605633815,1.366346692124204,-5.549999999999997,4.240000000000009,-1.1949999999999967,0.4899999999999949,-1.1949999999999967,0.4899999999999949,2025-11-01 11:05:29,Complete
100 Back,M,15,16,9.1.21-8.31.22,9.1.22-8.31.23,336,1.5400000000000027,1.5522916666666664,1.3564303812640994,-2.710000000000001,5.43,0.7799999999999994,2.3625000000000043,0.7799999999999994,2.3625000000000043,2025-11-01 11:05:29,Complete
100 Back,M,16,17,9.1.22-8.31.23,9.1.23-8.31.24,324,0.8649999999999984,0.9465740740740739,1.1392447915748025,-2.049999999999997,4.990000000000002,0.2475000000000005,1.6724999999999959,0.2475000000000005,1.6724999999999959,2025-11-01 11:05:29,Complete
100 Back,M,17,18,9.1.23-8.31.24,9.1.24-8.31.25,301,0.11999999999999744,0.03857142857142857,1.2876243103092178,-4.509999999999998,3.3799999999999955,-0.759999999999998,0.9100000000000037,-0.759999999999998,0.9100000000000037,2025-11-01 11:05:29,Complete
200 Back,F,15,16,9.1.21-8.31.22,9.1.22-8.31.23,339,1.7099999999999795,1.7066371681415935,2.845876573241178,-6.849999999999994,11.169999999999987,-0.10999999999999943,3.500000000000014,-0.10999999999999943,3.500000000000014,2025-11-01 11:05:30,Complete
200 Back,F,16,17,9.1.22-8.31.23,9.1.23-8.31.24,350,0.730000000000004,0.6473142857142851,2.828199263250923,-8.189999999999998,9.72999999999999,-1.095000000000013,2.3874999999999886,-1.095000000000013,2.3874999999999886,2025-11-01 11:05:30,Complete
200 Back,F,17,18,9.1.23-8.31.24,9.1.24-8.31.25,273,-0.4900000000000091,-0.7955677655677651,3.8236271145787595,-17.610000000000014,9.439999999999998,-2.640000000000015,1.6400000000000148,-2.640000000000015,1.6400000000000148,2025-11-01 11:05:30,Complete
200 Back,M,15,16,9.1.21-8.31.22,9.1.22-8.31.23,339,3.039999999999992,3.139764011799409,2.9681826929759296,-6.060000000000002,12.370000000000019,1.3549999999999969,4.82,1.3549999999999969,4.82,2025-11-01 11:05:30,Complete
200 Back,M,16,17,9.1.22-8.31.23,9.1.23-8.31.24,355,1.5,1.6970704225352113,2.795655962854925,-6.219999999999999,9.540000000000006,-0.20999999999999375,3.569999999999993,-0.20999999999999375,3.569999999999993,2025-11-01 11:05:30,Complete
200 Back,M,17,18,9.1.23-8.31.24,9.1.24-8.31.25,283,0.13000000000002387,-0.3267844522968185,3.700878500354645,-15.61,7.6200000000000045,-2.4099999999999966,2.0250000000000057,-2.4099999999999966,2.0250000000000057,2025-11-01 11:05:31,Complete
100 Breast,F,15,16,9.1.21-8.31.22,9.1.22-8.31.23,360,1.1149999999999949,1.0483055555555552,1.637424185173579,-5.760000000000005,6.5,0.09000000000000341,2.0075000000000003,0.09000000000000341,2.0075000000000003,2025-11-01 11:05:31,Complete
100 Breast,F,16,17,9.1.22-8.31.23,9.1.23-8.31.24,346,0.394999999999996,0.608005780346821,1.701162407749137,-4.030000000000001,8.409999999999997,-0.5825000000000031,1.537500000000005,-0.5825000000000031,1.537500000000005,2025-11-01 11:05:31,Complete
100 Breast,F,17,18,9.1.23-8.31.24,9.1.24-8.31.25,279,-0.7099999999999937,-0.8745519713261655,2.0652248864296525,-8.379999999999995,4.709999999999994,-1.9699999999999989,0.4549999999999983,-1.9699999999999989,0.4549999999999983,2025-11-01 11:05:31,Complete
100 Breast,M,15,16,9.1.21-8.31.22,9.1.22-8.31.23,345,1.9599999999999937,1.9189275362318847,1.5413185614247569,-2.989999999999995,8.590000000000003,0.7999999999999972,2.9200000000000017,0.7999999999999972,2.9200000000000017,2025-11-01 11:05:31,Complete
100 Breast,M,16,17,9.1.22-8.31.23,9.1.23-8.31.24,336,1.1499999999999915,1.226130952380952,1.3982224793998603,-3.7900000000000063,5.3799999999999955,0.4024999999999963,2.0825000000000067,0.4024999999999963,2.0825000000000067,2025-11-01 11:05:32,Complete
100 Breast,M,17,18,9.1.23-8.31.24,9.1.24-8.31.25,289,0.09000000000000341,0.06041522491349447,1.6171324851870035,-5.789999999999999,5.600000000000001,-0.7800000000000011,0.9600000000000009,-0.7800000000000011,0.9600000000000009,2025-11-01 11:05:32,Complete
200 Breast,F,15,16,9.1.21-8.31.22,9.1.22-8.31.23,61,0.5999999999999943,0.12016393442622925,4.73069484786509,-16.69999999999999,13.25,-2.799999999999983,3.1699999999999875,-2.799999999999983,3.1699999999999875,2025-11-01 11:05:32,Complete
